	par0 	          0.021426194
	par1 	          0.000033453
	par2 	          0.000053748
	par3 	          0.000050143
	par4 	          0.000001501
	par5 	          0.000019795
	par6 	          0.000073153
	par7 	          0.000030278
	par8 	          0.000022768
	par9 	          0.000025102
	par10 	          0.000345656
	par11 	          0.000019916
	par12 	          0.000197874
	par13 	          0.000084982
	par14 	          0.000178374
	par15 	          0.000101543
	par16 	          0.000038028
	par17 	          0.000382176
	par18 	          0.000160053
	par19 	          0.000060807
	par20 	          0.000037807
	par21 	          0.000002753
	par22 	          0.000026524
	par23 	          0.000021177
	par24 	          0.000405752
	par25 	          0.000235977
	par26 	          0.000166334
	par27 	          0.000020346
	par28 	          0.000295483
	par29 	          2.681494264
	par30 	          0.000012873
	par31 	          0.000120589
	par32 	          0.000759437
	par33 	          0.000156161
	par34 	          0.000115395
	par35 	          0.000043831
	par36 	          0.000143173
	par37 	          0.000164776
	par38 	          0.000360404
	par39 	          0.000270139
	par40 	          1.481859758
	par41 	          0.000036605
	par42 	          0.000179540
	par43 	          0.000254219
	par44 	          0.000217774
	par45 	          0.000040311
	par46 	          0.000041291
	par47 	          0.000524544
	par48 	          0.000254071
	par49 	          0.000036315
	par50 	          0.000038759
	par51 	          0.000243331
	par52 	          0.000389329
	par53 	          0.000291097
	par54 	          0.000040781
	par55 	          0.000478607
	par56 	          0.000041121
	par57 	          0.000039740
	par58 	          0.000030378
	par59 	          0.000366641
	par60 	          0.000681543
	par61 	          0.000662270
	par62 	          0.000045496
	par63 	          0.000036095
	par64 	          0.000377755
	par65 	          0.000069923
	par66 	          0.000643998
	par67 	          0.000378105
	par68 	          0.000283127
	par69 	          0.000289298
	par70 	          0.000288624
	par71 	          0.000853521
	par72 	          0.000398451
	par73 	          0.000653789
	par74 	          0.000418091
	par75 	          0.000162450
	par76 	          0.000047319
	par77 	          0.000035153
	par78 	          0.000185557
	par79 	          0.000201095
	par80 	          0.000045266
	par81 	          0.000033641
	par82 	          0.000172307
	par83 	          0.000037707
	par84 	          0.000383622
	par85 	          0.000151131
	par86 	          0.000034543
	par87 	          0.000046698
	par88 	          0.000748563
	par89 	          0.000018350
	par90 	          0.000573588
	par91 	          0.000037677
	par92 	          0.000220762
	par93 	          0.000035594
	par94 	          0.000617348
	par95 	          0.000482428
	par96 	          0.000258265
	par97 	          0.000167370
	par98 	          0.000011511
	par99 	          0.000135014
	seq 	          0.000033536
total 	          3.238874722
